City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,hearst,49.6835,-83.6665,-5.86,84,100,5.69,CA,1675730984
242,oranjemund,-28.55,16.4333,18.38,96,100,4.47,NA,1675730984
243,beringovskiy,63.05,179.3167,-25.73,89,100,3.84,RU,1675730984
244,devils lake,48.1128,-98.8651,-1.01,88,0,11.32,US,1675730507
245,dalvik,65.9702,-18.5286,-2.04,75,96,7.5,IS,1675730985
246,pringsewu,-5.3582,104.9744,25.31,83,92,0.37,ID,1675730985
247,port lincoln,-34.7333,135.8667,20.95,68,0,5.83,AU,1675730747
248,pinega,64.7001,43.3936,-17.07,99,94,2.59,RU,1675730986
249,omboue,-1.5746,9.2618,25.27,88,45,1.91,GA,1675730986
250,salalah,17.0151,54.0924,21.05,68,40,1.03,OM,1675730986
251,chern,53.4523,36.9145,-7.05,94,100,2.45,RU,1675730986
252,cotonou,6.3654,2.4183,24.99,78,75,5.14,BJ,1675730987
253,lagoa,39.05,-27.9833,13.09,68,100,10.86,PT,1675730987
254,talas,38.6908,35.5538,-3.63,93,100,5.14,TR,1675730987
255,pevek,69.7008,170.3133,-34.45,100,100,1.16,RU,1675730988
256,nova olimpia,-14.7972,-57.2881,22.9,92,100,0.91,BR,1675730988
257,nkawkaw,6.5512,-0.7662,23.53,94,48,1.84,GH,1675730988
258,mega,4.05,38.3,15.94,36,15,3.46,ET,1675730989
259,bayir,37.2687,28.2167,1.29,77,7,5.24,TR,1675730989
260,masallatah,32.6167,14.0,8.62,64,17,2.71,LY,1675730989
261,praia da vitoria,38.7333,-27.0667,13.14,88,75,10.98,PT,1675730990
262,oksfjord,70.2396,22.3479,8.1,99,100,4.37,NO,1675730990
263,tasiilaq,65.6145,-37.6368,-11.91,92,100,2.8,GL,1675730727
264,eureka,40.8021,-124.1637,11.48,80,51,3.58,US,1675730990
265,aryanah,36.8601,10.1934,9.93,87,40,3.09,TN,1675730991
266,port hueneme,34.1478,-119.1951,18.31,44,20,6.69,US,1675730991
267,saint-pierre,-21.3393,55.4781,24.82,73,75,1.54,RE,1675730991
268,la rioja,42.25,-2.5,-5.12,82,5,1.05,ES,1675730992
269,terney,45.0503,136.6092,-7.85,57,1,2.3,RU,1675730992
270,iiyama,36.85,138.3667,7.31,69,44,0.72,JP,1675730992
271,abu dhabi,24.4667,54.3667,20.01,68,0,2.06,AE,1675730993
272,cherskiy,68.75,161.3,-36.45,99,100,2.14,RU,1675730993
273,airai,-8.9266,125.4092,20.77,72,60,1.74,TL,1675730993
274,jutai,-5.1833,-68.9,22.4,98,50,0.19,BR,1675730994
275,petropavlovsk-kamchatskiy,53.0452,158.6483,-11.67,62,20,3.0,RU,1675730711
276,karratha,-20.7377,116.8463,32.49,48,6,2.39,AU,1675730994
277,maarianhamina,60.0973,19.9348,-0.08,86,0,2.57,AX,1675730994
278,zorritos,-3.6805,-80.6782,28.16,73,71,2.68,PE,1675730995
279,owando,-0.4819,15.8999,23.34,80,100,2.21,CG,1675730995
280,grimshaw,56.1834,-117.6027,2.79,70,75,7.2,CA,1675730995
281,soeng sang,14.4264,102.4606,26.91,67,100,1.78,TH,1675730996
282,egvekinot,66.3167,-179.1667,-26.66,88,100,3.85,RU,1675730996
283,ilulissat,69.2167,-51.1,-18.99,84,100,3.6,GL,1675730996
284,pyaozerskiy,65.8333,31.1667,-3.09,92,100,4.85,RU,1675730997
285,eenhana,-17.4667,16.3333,19.82,75,100,0.94,NA,1675730997
286,hofn,64.2539,-15.2082,1.79,71,100,16.76,IS,1675730997
287,manaus,-3.1019,-60.025,27.27,74,40,2.06,BR,1675730796
288,yantzaza,-3.8278,-78.7594,19.64,99,39,0.33,EC,1675730998
289,khani,41.9563,42.9566,3.76,72,100,0.72,GE,1675730998
290,vostok,46.4856,135.8833,-14.37,88,100,2.0,RU,1675730998
291,pechenga,69.5259,31.1703,1.85,89,100,10.24,RU,1675730999
292,aykhal,66.0,111.5,-35.59,100,98,1.48,RU,1675730999
293,mogadishu,2.0371,45.3438,24.59,86,15,8.47,SO,1675731000
294,alta floresta,-9.8756,-56.0861,21.97,96,100,0.23,BR,1675731000
295,west bay,19.3667,-81.4167,27.04,80,20,5.14,KY,1675731000
296,saint-denis,48.9167,2.3333,2.88,83,0,4.63,FR,1675730904
297,filadelfia,39.9523,-75.1638,6.26,64,100,6.17,US,1675730768
298,honningsvag,70.9821,25.9704,5.86,75,100,9.26,NO,1675731001
299,howard springs,-12.497,131.047,31.66,80,98,2.74,AU,1675731001
300,bethel,41.3712,-73.414,4.17,67,0,5.14,US,1675731002
301,khoy,38.5504,44.9535,2.99,93,98,1.15,IR,1675731003
302,poronaysk,49.2167,143.1167,-18.56,85,56,0.71,RU,1675731004
303,nara,34.6851,135.8049,8.05,47,100,1.52,JP,1675731006
304,aklavik,68.2191,-135.0107,-36.0,75,40,1.54,CA,1675731007
305,khandyga,62.6667,135.6,-37.88,98,100,0.08,RU,1675731009
306,mehamn,71.0357,27.8492,3.97,81,20,12.35,NO,1675731010
307,kuching,1.55,110.3333,27.23,90,40,0.0,MY,1675731010
308,alakurtti,66.9672,30.3491,-0.89,95,100,3.65,RU,1675731012
309,muzhi,65.3667,64.6667,-25.54,98,27,1.31,RU,1675731012
310,dunedin,-45.8742,170.5036,21.16,47,100,2.88,NZ,1675730795
311,nehe,48.4833,124.8333,-19.59,85,5,1.43,CN,1675731013
312,sobradinho,-12.8333,-39.1,23.12,92,75,1.51,BR,1675731014
313,novoagansk,61.9449,76.6625,-15.79,98,100,0.88,RU,1675731014
314,abong mbang,3.9833,13.1833,17.7,33,26,1.73,CM,1675731014
315,garowe,8.4054,48.4845,18.61,89,74,3.54,SO,1675731015
316,makakilo city,21.3469,-158.0858,28.18,60,40,6.17,US,1675731015
317,surt,31.2089,16.5887,12.22,54,60,2.32,LY,1675731015
318,ust-omchug,61.15,149.6333,-32.15,93,94,1.98,RU,1675731016
319,honiara,-9.4333,159.95,28.89,73,97,3.51,SB,1675731016
320,ouadda,8.0777,22.4007,21.09,17,1,2.2,CF,1675731017
321,ust-kuyga,70.0167,135.6,-38.51,98,100,2.19,RU,1675731017
322,huarmey,-10.0681,-78.1522,22.88,80,47,2.51,PE,1675731018
323,leshukonskoye,64.8989,45.7622,-19.05,100,95,2.31,RU,1675731019
324,geraldton,-28.7667,114.6,23.23,64,75,6.69,AU,1675731019
325,santiago,-33.4569,-70.6483,28.08,32,0,6.69,CL,1675730752
326,iskateley,67.6803,53.1512,-18.42,97,100,4.7,RU,1675731020
327,staryy nadym,65.6118,72.6842,-26.44,100,99,3.3,RU,1675731021
328,xuddur,4.1213,43.8894,20.51,86,25,6.6,SO,1675731022
329,omsukchan,62.5333,155.8,-33.86,95,95,2.02,RU,1675731022
330,mahebourg,-20.4081,57.7,24.58,79,70,6.33,MU,1675731023
331,lake cowichan,48.825,-124.0546,8.88,96,100,3.56,CA,1675730742
332,inirida,3.8653,-67.9239,23.76,89,22,0.77,CO,1675731024
333,thompson,55.7435,-97.8558,-14.91,78,100,6.69,CA,1675730747
334,mangrol,21.1167,70.1167,19.59,78,2,3.76,IN,1675731025
335,christchurch,-43.5333,172.6333,29.67,50,0,5.14,NZ,1675731025
336,alyangula,-13.8483,136.4192,30.25,53,21,0.44,AU,1675731026
337,abonnema,4.7084,6.7931,26.41,81,55,3.26,NG,1675731027
338,skibbereen,51.55,-9.2667,10.06,83,100,4.16,IE,1675731027
339,griffith,41.5284,-87.4237,4.47,69,0,7.72,US,1675731028
340,olinda,-8.0089,-34.8553,26.85,69,40,2.57,BR,1675731028
341,bud,39.447,-86.1758,7.16,69,100,5.82,US,1675731029
342,jorpeland,59.0225,6.0408,6.19,83,100,2.93,NO,1675731029
343,yulara,-25.2406,130.9889,32.15,14,0,5.77,AU,1675731029
344,kibaya,-5.3,36.5667,15.43,83,100,0.52,TZ,1675731030
345,ca mau,9.1769,105.15,26.34,76,44,3.65,VN,1675731030
346,ahipara,-35.1667,173.1667,22.13,59,45,3.88,NZ,1675731030
347,douglas,41.3,-96.167,5.88,77,0,6.17,US,1675730861
348,guarapari,-20.6667,-40.4975,26.05,90,100,3.69,BR,1675731031
349,huanren,41.2647,125.3667,-6.57,60,53,1.28,CN,1675731031
350,palmer,42.1584,-72.3287,2.89,60,75,4.12,US,1675730925
351,wuwei,37.9281,102.6414,-1.18,37,74,0.72,CN,1675731031
352,yar-sale,66.8333,70.8333,-19.56,99,99,2.53,RU,1675731032
353,flin flon,54.7682,-101.865,-10.09,67,100,5.66,CA,1675731032
354,itarema,-2.9248,-39.9167,25.7,81,88,4.12,BR,1675731032
355,carutapera,-1.195,-46.02,24.26,94,89,2.39,BR,1675731033
356,flinders,-34.5833,150.8552,22.92,87,90,0.82,AU,1675731033
357,aksu,41.1231,80.2644,-4.47,83,99,1.1,CN,1675731033
358,banamba,13.55,-7.45,23.44,16,100,1.89,ML,1675731033
359,onega,63.9061,38.1404,-15.3,99,100,1.64,RU,1675731034
360,kuusamo,65.9667,29.1833,-3.98,100,100,5.66,FI,1675731034
361,tutoia,-2.7619,-42.2744,25.62,86,100,3.59,BR,1675730913
362,casian,11.035,119.7136,27.08,81,100,7.54,PH,1675731034
363,saint-joseph,-21.3667,55.6167,24.21,82,83,5.12,RE,1675731035
364,manokwari,-0.8667,134.0833,27.11,80,84,3.46,ID,1675731035
365,luderitz,-26.6481,15.1594,17.97,91,24,6.33,NA,1675731035
366,santa isabel do rio negro,-0.4139,-65.0192,22.9,98,100,0.38,BR,1675731036
367,sola,-13.8833,167.55,32.37,66,75,0.0,VU,1675731036
368,tezu,27.9167,96.1667,14.26,83,84,1.18,IN,1675731036
369,boa vista,2.8197,-60.6733,25.99,78,0,1.54,BR,1675731036
370,colesberg,-30.72,25.0972,21.7,53,100,5.32,ZA,1675731037
371,bereda,43.2686,-7.5406,0.08,100,24,1.32,ES,1675731037
372,la serena,-29.9078,-71.2542,17.73,88,100,3.09,CL,1675730766
373,porto novo,6.4965,2.6036,24.9,87,100,3.84,BJ,1675731033
374,gheorghe lazar,44.6333,27.45,-1.73,76,68,8.65,RO,1675731038
375,andenes,69.3143,16.1194,6.99,87,100,14.92,NO,1675731038
376,lebu,-37.6167,-73.65,14.38,84,0,8.06,CL,1675731038
377,nalut,30.3333,10.85,9.15,57,100,5.08,LY,1675731039
378,san carlos de bariloche,-41.1456,-71.3082,21.86,37,0,7.2,AR,1675731035
379,svetlaya,46.5389,138.3297,-9.91,54,7,1.8,RU,1675731039
380,seoul,37.5683,126.9778,0.69,90,40,1.54,KR,1675731039
381,belyy yar,53.6039,91.3903,-23.06,84,40,0.0,RU,1675731040
382,acarau,-2.8856,-40.12,25.74,81,66,4.74,BR,1675730753
383,karaton,-6.3424,106.1045,26.24,76,100,0.67,ID,1675731040
384,kulhudhuffushi,6.6221,73.07,26.88,74,100,3.97,MV,1675731040
385,sassandra,4.95,-6.0833,25.14,90,100,2.41,CI,1675731041
386,road town,18.4167,-64.6167,26.02,78,20,6.17,VG,1675730946
387,shingu,33.7333,135.9833,12.94,56,96,2.52,JP,1675730984
388,cabras,39.93,8.5314,7.57,70,100,5.72,IT,1675731041
389,taltal,-25.4,-70.4833,22.03,76,13,2.06,CL,1675731041
390,ancud,-41.8697,-73.8203,12.8,85,0,0.9,CL,1675731042
391,nova odesa,47.3078,31.7851,-3.61,77,89,6.85,UA,1675731042
392,wonosari,-7.9656,110.6036,24.77,84,100,1.75,ID,1675731042
393,hays,30.0502,-98.0336,20.96,71,76,2.24,US,1675730911
394,saldanha,-33.0117,17.9442,18.03,97,100,6.21,ZA,1675731043
395,srednekolymsk,67.45,153.6833,-37.59,98,90,2.63,RU,1675731043
396,biltine,14.5333,20.9167,20.94,15,18,4.43,TD,1675731043
397,winnemucca,40.973,-117.7357,2.31,58,3,1.99,US,1675731044
398,chake chake,-5.2459,39.7666,25.37,79,100,3.41,TZ,1675731044
399,qarchi gak,37.04,66.7889,6.89,70,0,6.31,AF,1675731044
400,ucluelet,48.9329,-125.5528,8.94,93,100,1.34,CA,1675730747
401,onhaye,50.2426,4.8433,1.64,95,75,2.06,BE,1675731045
402,pokhara,28.2333,83.9833,12.21,51,65,2.29,NP,1675730721
403,camacha,33.0833,-16.3333,13.68,47,75,6.17,PT,1675731045
404,vestmannaeyjar,63.4427,-20.2734,1.65,72,100,17.72,IS,1675731045
405,okhotsk,59.3833,143.3,-22.76,77,99,5.77,RU,1675731046
406,strelka,58.0728,93.0344,-25.42,100,100,1.3,RU,1675731046
407,emiliano zapata,18.8333,-99.1833,27.03,22,0,1.7,MX,1675730907
408,bibiani,6.4635,-2.3194,22.74,92,100,1.23,GH,1675731047
409,ullal,12.8,74.85,24.53,94,20,0.0,IN,1675731047
410,tateyama,34.9833,139.8667,11.72,60,28,3.88,JP,1675731047
411,makasar,-5.14,119.4221,27.03,69,20,2.06,ID,1675731048
412,northam,51.0333,-4.2167,2.99,83,84,2.12,GB,1675731048
413,calama,-22.4667,-68.9333,18.27,59,75,5.66,CL,1675731048
414,kushima,31.4583,131.2333,12.69,91,100,4.25,JP,1675730754
415,kemptville,45.0168,-75.641,-8.86,79,11,0.51,CA,1675731049
416,malur,13.0075,77.9378,15.98,78,66,1.26,IN,1675731049
417,the pas,53.8251,-101.2541,-7.99,73,100,6.69,CA,1675731049
418,rantepao,-2.9701,119.8978,24.96,66,100,0.8,ID,1675731050
419,husavik,66.0449,-17.3389,-1.55,61,11,8.46,IS,1675731050
420,cam ranh,11.9214,109.1591,23.98,83,40,1.54,VN,1675731050
421,esso,55.9333,158.7,-12.47,93,100,1.2,RU,1675731050
422,luzhou,28.8724,105.4405,14.21,62,100,1.24,CN,1675731051
423,dehloran,32.6941,47.2679,13.59,61,33,4.19,IR,1675731051
424,mount pleasant,32.7941,-79.8626,12.77,79,0,0.0,US,1675731051
425,bandarbeyla,9.4942,50.8122,23.37,76,76,4.51,SO,1675731052
426,japura,-0.3167,102.35,24.41,89,100,1.16,ID,1675731052
427,kutum,14.2,24.6667,15.66,20,41,3.91,SD,1675731052
428,bubaque,11.2833,-15.8333,24.39,58,1,7.92,GW,1675731053
429,mount gambier,-37.8333,140.7667,20.82,50,6,3.78,AU,1675731053
430,ngawi,-7.4038,111.4461,25.6,83,100,1.23,ID,1675731053
